,title,author,publisher,isbn13,pubDate,categoryId,categoryName,description,cover,text,Keyword,genres,mood,interest
0,지박소년 하나코 군 17 (특장판) - 초판 한정 홀로그램 양면 책갈피 + 선착순 한정 아크릴 스탠딩 POP,아이다이로,서울미디어코믹스(서울문화사),,2022-05-31,4134,만화,"하나코가 있는 ""경계""로 통하는 단서를 찾는 네네 일행. 저주받은 【빨간 집】에서 만난 꼬마는 어린 시절의 츠카사였다. 츠카사와 함께 집에서 탈출을 시도하지만 앞이 가로막히는데….",https://image.aladin.co.kr/product/29299/54/coversum/k832837500_1.jpg,하나코가 있는  경계 로 통하는 단서를 찾는 네네 일행  저주받은  빨간 집 에서 만난 꼬마는 어린 시절의 츠카사였다  츠카사와 함께 집에서 탈출을 시도하지만 앞이 가로막히는데  ,['경계' '꼬마' '단서' '시도' '시절' '일행' '저주' '츠카사' '탈출'],['역사'],['열망'],"['사랑', '가족']"
1,나의 히어로 아카데미아 35 (한정판) - ‘토도로키’일러스트 카드 + 아크릴 일러스트 보드,호리코시 코헤이,서울미디어코믹스(서울문화사),,2022-08-31,4133,만화,"고상한 소리만 판치는 초인사회 안에서 묵인당하고 규탄받아온 우리 비틀린 이들의 마음 하나하나가 폭발한 결과가, 바로 이 참상이잖아? 그러니 말이지, 싹 다 불태우고 웃어보자고!",https://image.aladin.co.kr/product/30003/98/coversum/k542838358_1.jpg,고상한 소리만 판치는 초인사회 안에서 묵인당하고 규탄받아온 우리 비틀린 이들의 마음 하나하나가 폭발한 결과가  바로 이 참상이잖아  그러니 말이지  싹 다 불태우고 웃어보자고 ,['결과' '규탄' '마음' '묵인' '사회' '소리' '참상' '초인' '폭발' '하나하나'],"['시대', '예술']",[],"['사회', '동물']"
2,나의 히어로 아카데미아 34 (한정판) - ‘미도리야’일러스트 카드 + 아크릴 일러스트 보드,호리코시 코헤이,서울미디어코믹스(서울문화사),,2022-08-31,4133,만화,일본의 구원 요청…. 무엇보다 올마이트가 직접 부탁한 건데. 안 갈 수 없지. 세계에 위협이 될 수 있는 올 포 원은 여기서 반드시 제거한다! 자유의 이름으로 이 스타 앤 스트라이프가 말이야!,https://image.aladin.co.kr/product/30003/82/coversum/k922838257_1.jpg,일본의 구원 요청   무엇보다 올마이트가 직접 부탁한 건데  안 갈 수 없지  세계에 위협이 될 수 있는 올 포 원은 여기서 반드시 제거한다  자유의 이름으로 이 스타 앤 스트라이프가 말이야 ,['구원' '마이트' '부탁' '세계' '스타' '스트라이프' '요청' '위협' '이름' '일본' '자유' '제거'],['동화'],"['용기', '우울', '불행', '행복', '열정', '자유', '불안']","['심리', '가족', '동물', '그림']"
3,괴수 8호 6 (일러스트 카드 2종 + 캐릭터 일러스트 카드 포함 특장판),마츠모토 나오야,서울미디어코믹스(서울문화사),,2022-04-29,3724,만화,"괴수 9호와 조우했으나 변신이 되지 않아 위기에 몰린 히비노 카프카. 그때 나타난 시노미야 키코루와 함께 괴수 9호와 대치하지만, 변신이 되지 않는 이유가 카프카 자신의 두려움 때문임을 깨닫는다. 한편, 나루미 대장의 앞에도 나타난 괴수 9호가 전투 도중 진화를 이루는데…?!",https://image.aladin.co.kr/product/29263/62/coversum/k802837705_1.jpg,괴수  호와 조우했으나 변신이 되지 않아 위기에 몰린 히비노 카프카  그때 나타난 시노미야 키코루와 함께 괴수  호와 대치하지만  변신이 되지 않는 이유가 카프카 자신의 두려움 때문임을 깨닫는다  한편  나루미 대장의 앞에도 나타난 괴수  호가 전투 도중 진화를 이루는데   ,"['괴수' '그때' '나루미' '대장' '대치' '도중' '두려움' '문임' '변신' '시노미야' '위기' '이유' '자신' '전투'
 '조우' '진화' '카프카' '키코' '한편' '호가' '히비노']","['전쟁', '로맨스', '역사']","['희망', '용기', '불안', '불행', '자유']","['시간', '일상', '영화', '사진', '인생', '동물', '자연', '관계']"
4,"주술회전 19 (초판한정 캐릭터 일러스트 카드 + 선착순 한정 옷코츠 유타,젠인 마키 학생증 포함 특장판) - 도쿄 제1콜로니 -화내는 남자-",아쿠타미 게게,서울미디어코믹스(서울문화사),,2022-06-28,4133,만화,"사멸회유(死滅回游)에 구멍이 될 《룰》, 즉 총칙을 추가하기 위해 100점을 가진 플레이어 히구루마 히로미로 타깃을 정한 이타도리와 후시구로. 그러나 도쿄 제1콜로니에 돌입할 때, 두 사람은 뿔뿔이 흩어지고 만다. 각자 협력자를 구해 히구루마 쪽으로 향하지만――?!",https://image.aladin.co.kr/product/29651/79/coversum/k742838881_1.jpg,사멸회유      에 구멍이 될  룰   즉 총칙을 추가하기 위해    점을 가진 플레이어 히구루마 히로미로 타깃을 정한 이타도리와 후시구로  그러나 도쿄 제 콜로니에 돌입할 때  두 사람은 뿔뿔이 흩어지고 만다  각자 협력자를 구해 히구루마 쪽으로 향하지만    ,"['구멍' '도리' '도쿄' '돌입' '루마' '사람' '사멸' '시구' '이타' '총칙' '추가' '콜로니' '타깃' '플레이어'
 '협력자' '회유' '히로미']","['동화', '판타지', '철학', '미스터리']","['불행', '도전']","['동물', '시', '그림', '관계', '정치']"
5,지박소년 하나코 군 18 (특장판) - 초판한정 홀로그램 양면 책갈피 + 선착순 한정 아크릴 스탠딩 POP,아이다이로,서울미디어코믹스(서울문화사),,2022-11-23,4134,만화,"저세상과 이 세상이 단절되면서 뿔뿔이 흩어졌던 하나코와 간신히 다시 만난 네네. 그러나 각자의 감정이 고조된 나머지, 서로 부딪치고 만다. 한편, 코우 일행은 7대 불가사의 중 6번째의 습격을 받는데….",https://image.aladin.co.kr/product/30409/19/coversum/k402830269_1.jpg,저세상과 이 세상이 단절되면서 뿔뿔이 흩어졌던 하나코와 간신히 다시 만난 네네  그러나 각자의 감정이 고조된 나머지  서로 부딪치고 만다  한편  코우 일행은  대 불가사의 중  번째의 습격을 받는데  ,['각자' '감정' '고조' '나머지' '단절' '만다' '불가사의' '세상' '습격' '일행' '저세상' '코우' '한편'],"['역사', '철학', '과학']","['도전', '행복', '희망']","['일상', '생각', '심리', '가족', '시간', '사랑', '자연']"
6,도쿄 에일리언즈 4 (초판 한정 홀로그램 양면 일러스트 카드 + 선착순 한정 아크릴 일러스트 카드 포함 특장판),NAOE,서울미디어코믹스(서울문화사),,2022-10-25,4133,만화,"어렸을 때, 하쿠긴의 공격을 받은 자신과 여동생을 구한 건 군지 아키라라고 확신한 텐쿠바시 쇼우. 그러나 크리스티나가 텐쿠바시에게 밝힌 건 그것과는 다른 극비 정보였다. 한편, 군지 아키라는 텐쿠바시에게 도움이 되고자 매일 특훈에 매진하는데….",https://image.aladin.co.kr/product/30230/52/coversum/k172839306_1.jpg,어렸을 때  하쿠긴의 공격을 받은 자신과 여동생을 구한 건 군지 아키라라고 확신한 텐쿠바시 쇼우  그러나 크리스티나가 텐쿠바시에게 밝힌 건 그것과는 다른 극비 정보였다  한편  군지 아키라는 텐쿠바시에게 도움이 되고자 매일 특훈에 매진하는데  ,"['공격' '군지' '극비' '도움' '매진' '바시' '쇼우' '아키' '아키라' '여동생' '자신' '정보' '크리스티나'
 '특훈' '한편' '확신']","['철학', '시대', '판타지']","['슬픔', '열망', '긍정', '우울']","['심리', '음악', '시', '사회', '시간', '가족', '사진', '인생', '미술', '영화', '자연']"
7,주술회전 21 (초판한정 스페셜 일러스트 카드 + 선착순 한정 후시구로 메구미 포토 카드 포함 특장판) - 도쿄 제2콜로니 -호운-,아쿠타미 게게,서울미디어코믹스(서울문화사),,2022-12-30,4133,만화,"고득점을 소지한 카시모를 노리고 도쿄 제2콜로니로 향한 하카리와 판다. 하지만 돌입할 때 갈라지면서, 하카리는 만화가 지망생인 플레이어 샤를과 대치하게 된다! 한편, 예기치 않게 카시모와 조우한 판다는 압도적인 역량차로 인해 궁지에 내몰리는데…?!",https://image.aladin.co.kr/product/30763/42/coversum/k522830559_1.jpg,고득점을 소지한 카시모를 노리고 도쿄 제 콜로니로 향한 하카리와 판다  하지만 돌입할 때 갈라지면서  하카리는 만화가 지망생인 플레이어 샤를과 대치하게 된다  한편  예기치 않게 카시모와 조우한 판다는 압도적인 역량차로 인해 궁지에 내몰리는데   ,"['고득점' '궁지' '대치' '도쿄' '돌입' '만화' '샤를' '소지' '시모' '압도' '역량' '예기' '조우' '지망'
 '콜로니' '판다' '플레이어' '하카리' '한편']","['전쟁', '동화', '시대', '판타지']","['긍정', '슬픔', '희망']","['동물', '자연', '심리', '가족', '관계', '일상']"
8,괴수 8호 8 (일러스트 카드 + 스페셜 일러스트 카드 2종 포함 특장판),마츠모토 나오야,서울미디어코믹스(서울문화사),,2022-12-29,3724,만화,"식별 괴수 병기를 완벽하게 다루기 위해 훈련을 이어가는 이치카와 레노. 드디어 훈련 성과를 보이기 위한 괴수 토벌 테스트가 시작됐다. 한편, 레노의 성장을 목도한 이하루는 성장하지 않는 자신의 성적에 고뇌하며 복잡한 마음을 품고 있었다.",https://image.aladin.co.kr/product/30695/42/coversum/k622830840_1.jpg,식별 괴수 병기를 완벽하게 다루기 위해 훈련을 이어가는 이치카와 레노  드디어 훈련 성과를 보이기 위한 괴수 토벌 테스트가 시작됐다  한편  레노의 성장을 목도한 이하루는 성장하지 않는 자신의 성적에 고뇌하며 복잡한 마음을 품고 있었다 ,"['고뇌' '괴수' '레노' '마음' '목도' '병기' '성과' '성장' '성적' '시작' '식별' '완벽' '이치카' '자신'
 '테스트' '토벌' '하루' '한편' '훈련']","['전쟁', '과학', '로맨스', '역사']",['위로'],"['사회', '인생', '동물', '시', '사진', '가족', '자연']"
9,지박소년 하나코 군 16 (특장판) - 초판 한정 홀로그램 양면 책갈피 + 선착순 한정 아크릴 스탠딩 POP,아이다이로,서울미디어코믹스(서울문화사),,2022-01-27,4134,만화,"무녀가 제물로 바쳐지면서 저세상과 이 세상의 연결통로는 닫히고 말았다. 네네와 코우는 경계로 건너갈 방법을 찾던 중, 저주받은 【빨간 집】에 들어가고 만다. 그곳에는 하나코와 똑같이 생긴 어린 아이가 있는데….",https://image.aladin.co.kr/product/28634/13/coversum/k422835551_1.jpg,무녀가 제물로 바쳐지면서 저세상과 이 세상의 연결통로는 닫히고 말았다  네네와 코우는 경계로 건너갈 방법을 찾던 중  저주받은  빨간 집 에 들어가고 만다  그곳에는 하나코와 똑같이 생긴 어린 아이가 있는데  ,['경계' '무녀' '방법' '세상' '아이' '연결' '저세상' '저주' '제물' '코우' '통로'],"['과학', '미스터리', '동화']",['희망'],"['영화', '시간', '사랑']"
