,title,author,publisher,isbn13,pubDate,categoryId,categoryName,description,cover
0,"굿바이, 이재명",장영하 (지은이),지우출판,9788991622869,2021-12-24,51277,국내도서>사회과학>한국정치사정/정치사>한국정치사정/정치사-일반,"진실을 찾아서 그 위에 정의를 세우기 위한 기록이다. 개인의 삶이 결코 한 개인의 삶으로 끝나지 않고 사회에 미치는 영향과 그 영향으로 사회가 어떻게 뒤엉켰는지를 알려 주며, 뒤엉킨 것을 풀어내고자 했다.",https://image.aladin.co.kr/product/28530/98/coversum/8991622860_2.jpg
1,그리움은 아무에게나 생기지 않습니다,박근혜 (지은이),가로세로연구소,9791196661984,2021-12-30,51220,국내도서>사회과학>정치학/외교학/행정학>정치인,유영하 변호사가 각계각층의 사람들이 보낸 수만 통에 달하는 편지들과 직접 답장한 것들을 엮어 책으로 펴냈다.,https://image.aladin.co.kr/product/28530/46/coversum/k802835034_2.jpg
2,나의 마녀 4 (완결기념 북케이스 세트) - 일러스트 엽서 2매 + 릴리 파우치 + 비하인드 소책자(32p) + 북케이스 + 디지털 특전,"해윤 (지은이), MAS (그림)",문학동네,9788954684637,2022-01-28,7443,국내도서>만화>인터넷 연재 만화,마녀들의 이상한 사랑을 그린 로맨스 웹툰 『나의 마녀』 1부의 단행본. 지나치게 아름다운 나머지 마녀로 몰리며 괴롭힘을 당하는 소녀 코델리아. 코델리아 이전에 마을의 희생양이었던 외팔 소년 콜린은 약자를 괴롭히는 사람들에게 회의를 느낀다. 마침내 정체를 드러낸 진짜 마녀는 콜린에게 뜻밖의 이야기를 들려주는데…,https://image.aladin.co.kr/product/28582/10/coversum/8954684637_1.jpg
3,The Earthian Tales 어션 테일즈 No.1 - alone,"김보영, 고호관, 곽재식, 구한나리, 구환회, 김창규, 김효선, 박경만, 박문영, 서바이벌SF키트, 시아란, 심너울, 심완선, 위래, 이경희, 이서영, 이수현, 이지용, 이하진, 전삼혜, 전혜진, 정명섭, 정보라, 정이담, 진규, 최의택, 한승태, 해도연, 홍지운, 황인찬, 루토, OOO, 이주혜 (지은이)",아작,9772799628000,2022-01-01,51234,국내도서>소설/시/희곡>문학 잡지>기타,"지구에서, 지구인들이, 계절마다 만들어내는 경이로운 이야기, SF 전문 계간 문학잡지. 각자의 시간을, 공간을, 세상을 성실히 다져온 이야기꾼들은 그 빛을 반사해 저 먼 지면에 스민 밤을 밝혀줄 준비가 되어 있다. 일 년에 네 번, 계절이 올 때마다 찾아올 어션 테일즈의 시작을 알린다.",https://image.aladin.co.kr/product/28486/34/coversum/k912835128_1.jpg
4,불편한 편의점,김호연 (지은이),나무옆의자,9791161571188,2021-04-20,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,&lt;망원동 브라더스&gt;의 작가 김호연의 '동네이야기' 시즌 2. 청파동 골목 모퉁이에 자리 잡은 작은 편의점을 무대로 힘겨운 시대를 살아가는 우리 이웃들의 삶의 속내와 희로애락을 따뜻하고 유머러스하게 담아냈다.,https://image.aladin.co.kr/product/26942/84/coversum/k582730818_1.jpg
5,"2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상 - 한국사능력검정시험 심화(1, 2, 3급)에 대비한 맞춤 기본서",최태성 (지은이),이투스북,9791138902199,2021-12-09,166525,"국내도서>수험서/자격증>한국사능력검정시험>심화(1,2,3급)","한국사에 기초가 전혀 없는 사람도 단기간에 한능검에 합격할 수 있는 최적의 구성을 완성하였다. 판서의 장인 큰별쌤 최태성이 핵심만을 모아 만든 아트 판서를 수록하고, 시험에 자주 등장하는 사료, 사진, 지도 등을 모아 해설하여 합격을 위한 필수 개념을 익히기 쉽게 하였다.",https://image.aladin.co.kr/product/28461/29/coversum/k642837967_1.jpg
6,"설민석의 한국사 대모험 19 - 고려 편 : 왕건, 새로운 세상을 열다!","설민석, 스토리박스 (지은이), 정현희 (그림), 강석화 (감수)",아이휴먼,9791165383053,2021-12-28,48904,국내도서>어린이>초등 한국사,"왕건이 궁예를 대신해 어떻게 백성을 위한 세상을 만들었는지, 진정한 의미의 민족 통일을 이룬 비결은 무엇인지 알아본다. 18권에서 궁예의 후고구려를 중심으로 후삼국 시대의 역사를 알아보았다면, 19권에서 온달은 고려를 세운 태조 왕건과 함께한다.",https://image.aladin.co.kr/product/28540/88/coversum/k222835233_1.jpg
7,웰씽킹 WEALTHINKING (양장) - 부를 창조하는 생각의 뿌리,켈리 최 (지은이),다산북스,9791130677774,2021-11-10,70216,국내도서>자기계발>성공>성공학,"부를 창조한 사람들이 갖고 있는 생각의 뿌리를 이해하고 체득하기 위해 ‘풍요의 생각’을 이야기하는 책이다. 풍요의 생각은 결핍의 생각과 반대되는 개념이다. 풍요의 생각이나 결핍의 생각이나 모두 에너지이지만, 그 방향성은 정반대다.",https://image.aladin.co.kr/product/28273/37/coversum/s242836112_3.jpg
8,트렌드 코리아 2022 - 서울대 소비트렌드 분석센터의 2022 전망,"김난도, 전미영, 최지혜, 이향은, 이준영, 이수진, 서유현, 권정윤, 한다혜, 이혜원 (지은이)",미래의창,9788959897001,2021-10-06,263,국내도서>경제경영>트렌드/미래전망>트렌드/미래전망 일반,"2021년 대한민국은 2020년에 이어 코로나19 팬데믹의 타격으로 휘청거릴 수밖에 없었다. 이러한 격변에 우리는 어떻게 대응할 것인가? 용맹하고 거침없는 호랑이의 기세가 기대되는 2022년, 『트렌드 코리아 2022』은 반전의 시작을 알리는 변화의 징후들을 포착하는 데 결정적인 도움을 줄 것이다.",https://image.aladin.co.kr/product/27971/10/coversum/s822734222_3.jpg
9,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩) - TOEIC 기출문제 한국 독점출간 / 문제집 + 해설집 + APP 모바일 학습 / 2022 대비 최신판,ETS (엮은이),(주)YBM(와이비엠),9788917238549,2021-12-13,49854,국내도서>외국어>토익>Reading,"정기시험 기출문제 7세트와 ETS 토익 예상문제 3세트가 수록되어 있다. 시험에 나온 토익 문제로 실전 감각을 키우고, 동일한 난이도의 예상문제로 시험에 확실하게 대비할 수 있다.",https://image.aladin.co.kr/product/28415/36/coversum/8917238548_2.jpg
10,지박소년 하나코 군 16 (특장판) - 초판 한정 홀로그램 양면 책갈피 + 선착순 한정 아크릴 스탠딩 POP,"아이다이로 (지은이), 장혜영 (옮긴이)",서울미디어코믹스(서울문화사),,2022-01-27,4134,국내도서>만화>본격장르만화>판타지>드라마틱 판타지,"무녀가 제물로 바쳐지면서 저세상과 이 세상의 연결통로는 닫히고 말았다. 네네와 코우는 경계로 건너갈 방법을 찾던 중, 저주받은 【빨간 집】에 들어가고 만다. 그곳에는 하나코와 똑같이 생긴 어린 아이가 있는데….",https://image.aladin.co.kr/product/28634/13/coversum/k422835551_1.jpg
11,그리움은 아무에게나 생기지 않습니다,박근혜 (지은이),가로세로연구소,9791196661984,2021-12-30,51220,국내도서>사회과학>정치학/외교학/행정학>정치인,유영하 변호사가 각계각층의 사람들이 보낸 수만 통에 달하는 편지들과 직접 답장한 것들을 엮어 책으로 펴냈다.,https://image.aladin.co.kr/product/28530/46/coversum/k802835034_2.jpg
12,연이와 버들 도령,백희나 (지은이),책읽는곰,9791158362836,2022-01-07,35134,국내도서>유아>그림책>나라별 그림책>한국 그림책,백희나 작가가 &lt;나는 개다&gt; 이후 3년간의 공백을 딛고 선보이는 옛이야기 그림책. 우리 옛이야기 '연이와 버들 도령'을 사람이라면 누구나 거쳐야 할 자아 통합과 성장의 서사로 새롭게 해석해 냈다.,https://image.aladin.co.kr/product/28591/8/coversum/k132835758_1.jpg
13,"2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상 - 한국사능력검정시험 심화(1, 2, 3급)에 대비한 맞춤 기본서",최태성 (지은이),이투스북,9791138902199,2021-12-09,166525,"국내도서>수험서/자격증>한국사능력검정시험>심화(1,2,3급)","한국사에 기초가 전혀 없는 사람도 단기간에 한능검에 합격할 수 있는 최적의 구성을 완성하였다. 판서의 장인 큰별쌤 최태성이 핵심만을 모아 만든 아트 판서를 수록하고, 시험에 자주 등장하는 사료, 사진, 지도 등을 모아 해설하여 합격을 위한 필수 개념을 익히기 쉽게 하였다.",https://image.aladin.co.kr/product/28461/29/coversum/k642837967_1.jpg
